"y"	"age"	"job"	"marital"	"education"	"default"	"balance"	"housing"	"loan"	"contact"	"day"	"month"	"duration"	"campaign"	"pdays"	"previous"	"poutcome"
0	36	"technician"	"single"	"secondary"	0	265	1	1	"unknown"	5	"may"	348	1	-1	0	"unknown"
0	57	"technician"	"married"	"secondary"	0	839	0	1	"unknown"	5	"may"	225	1	-1	0	"unknown"
0	49	"management"	"married"	"tertiary"	0	378	1	0	"unknown"	5	"may"	230	1	-1	0	"unknown"
0	60	"admin."	"married"	"secondary"	0	39	1	1	"unknown"	5	"may"	208	1	-1	0	"unknown"
0	59	"blue-collar"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	226	1	-1	0	"unknown"
0	51	"management"	"married"	"tertiary"	0	10635	1	0	"unknown"	5	"may"	336	1	-1	0	"unknown"
0	57	"technician"	"divorced"	"secondary"	0	63	1	0	"unknown"	5	"may"	242	1	-1	0	"unknown"
0	25	"blue-collar"	"married"	"secondary"	0	-7	1	0	"unknown"	5	"may"	365	1	-1	0	"unknown"
0	53	"technician"	"married"	"secondary"	0	-3	0	0	"unknown"	5	"may"	1666	1	-1	0	"unknown"
0	36	"admin."	"divorced"	"secondary"	0	506	1	0	"unknown"	5	"may"	577	1	-1	0	"unknown"
0	37	"admin."	"single"	"secondary"	0	0	1	0	"unknown"	5	"may"	137	1	-1	0	"unknown"
0	44	"services"	"divorced"	"secondary"	0	2586	1	0	"unknown"	5	"may"	160	1	-1	0	"unknown"
0	50	"management"	"married"	"secondary"	0	49	1	0	"unknown"	5	"may"	180	2	-1	0	"unknown"
0	60	"blue-collar"	"married"	"unknown"	0	104	1	0	"unknown"	5	"may"	22	1	-1	0	"unknown"
0	54	"retired"	"married"	"secondary"	0	529	1	0	"unknown"	5	"may"	1492	1	-1	0	"unknown"
0	58	"retired"	"married"	"unknown"	0	96	1	0	"unknown"	5	"may"	616	1	-1	0	"unknown"
0	36	"admin."	"single"	"primary"	0	-171	1	0	"unknown"	5	"may"	242	1	-1	0	"unknown"
0	58	"self-employed"	"married"	"tertiary"	0	-364	1	0	"unknown"	5	"may"	355	1	-1	0	"unknown"
0	44	"technician"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	225	2	-1	0	"unknown"
0	55	"technician"	"divorced"	"secondary"	0	0	0	0	"unknown"	5	"may"	160	1	-1	0	"unknown"
0	29	"management"	"single"	"tertiary"	0	0	1	0	"unknown"	5	"may"	363	1	-1	0	"unknown"
0	54	"blue-collar"	"married"	"secondary"	0	1291	1	0	"unknown"	5	"may"	266	1	-1	0	"unknown"
0	48	"management"	"divorced"	"tertiary"	0	-244	1	0	"unknown"	5	"may"	253	1	-1	0	"unknown"
0	32	"management"	"married"	"tertiary"	0	0	1	0	"unknown"	5	"may"	179	1	-1	0	"unknown"
0	42	"admin."	"single"	"secondary"	0	-76	1	0	"unknown"	5	"may"	787	1	-1	0	"unknown"
0	24	"technician"	"single"	"secondary"	0	-103	1	1	"unknown"	5	"may"	145	1	-1	0	"unknown"
0	38	"entrepreneur"	"single"	"tertiary"	0	243	0	1	"unknown"	5	"may"	174	1	-1	0	"unknown"
0	38	"management"	"single"	"tertiary"	0	424	1	0	"unknown"	5	"may"	104	1	-1	0	"unknown"
0	47	"blue-collar"	"married"	"unknown"	0	306	1	0	"unknown"	5	"may"	13	1	-1	0	"unknown"
0	40	"blue-collar"	"single"	"unknown"	0	24	1	0	"unknown"	5	"may"	185	1	-1	0	"unknown"
0	46	"services"	"married"	"primary"	0	179	1	0	"unknown"	5	"may"	1778	1	-1	0	"unknown"
0	32	"admin."	"married"	"tertiary"	0	0	1	0	"unknown"	5	"may"	138	1	-1	0	"unknown"
0	53	"technician"	"divorced"	"secondary"	0	989	1	0	"unknown"	5	"may"	812	1	-1	0	"unknown"
0	57	"blue-collar"	"married"	"primary"	0	249	1	0	"unknown"	5	"may"	164	1	-1	0	"unknown"
0	33	"services"	"married"	"secondary"	0	790	1	0	"unknown"	5	"may"	391	1	-1	0	"unknown"
0	49	"blue-collar"	"married"	"unknown"	0	154	1	0	"unknown"	5	"may"	357	1	-1	0	"unknown"
0	51	"management"	"married"	"tertiary"	0	6530	1	0	"unknown"	5	"may"	91	1	-1	0	"unknown"
0	60	"retired"	"married"	"tertiary"	0	100	0	0	"unknown"	5	"may"	528	1	-1	0	"unknown"
0	59	"management"	"divorced"	"tertiary"	0	59	1	0	"unknown"	5	"may"	273	1	-1	0	"unknown"
0	55	"technician"	"married"	"secondary"	0	1205	1	0	"unknown"	5	"may"	158	2	-1	0	"unknown"
0	35	"blue-collar"	"single"	"secondary"	0	12223	1	1	"unknown"	5	"may"	177	1	-1	0	"unknown"
0	57	"blue-collar"	"married"	"secondary"	0	5935	1	1	"unknown"	5	"may"	258	1	-1	0	"unknown"
0	31	"services"	"married"	"secondary"	0	25	1	1	"unknown"	5	"may"	172	1	-1	0	"unknown"
0	54	"management"	"married"	"secondary"	0	282	1	1	"unknown"	5	"may"	154	1	-1	0	"unknown"
0	55	"blue-collar"	"married"	"primary"	0	23	1	0	"unknown"	5	"may"	291	1	-1	0	"unknown"
0	43	"technician"	"married"	"secondary"	0	1937	1	0	"unknown"	5	"may"	181	1	-1	0	"unknown"
0	53	"technician"	"married"	"secondary"	0	384	1	0	"unknown"	5	"may"	176	1	-1	0	"unknown"
0	44	"blue-collar"	"married"	"secondary"	0	582	0	1	"unknown"	5	"may"	211	1	-1	0	"unknown"
0	55	"services"	"divorced"	"secondary"	0	91	0	0	"unknown"	5	"may"	349	1	-1	0	"unknown"
0	49	"services"	"divorced"	"secondary"	0	0	1	1	"unknown"	5	"may"	272	1	-1	0	"unknown"
0	55	"services"	"divorced"	"secondary"	1	1	1	0	"unknown"	5	"may"	208	1	-1	0	"unknown"
0	45	"admin."	"single"	"secondary"	0	206	1	0	"unknown"	5	"may"	193	1	-1	0	"unknown"
0	47	"services"	"divorced"	"secondary"	0	164	0	0	"unknown"	5	"may"	212	1	-1	0	"unknown"
0	42	"technician"	"single"	"secondary"	0	690	1	0	"unknown"	5	"may"	20	1	-1	0	"unknown"
1	59	"admin."	"married"	"secondary"	0	2343	1	0	"unknown"	5	"may"	1042	1	-1	0	"unknown"
0	46	"self-employed"	"married"	"tertiary"	0	137	1	1	"unknown"	5	"may"	246	1	-1	0	"unknown"
0	51	"blue-collar"	"married"	"primary"	0	173	1	0	"unknown"	5	"may"	529	2	-1	0	"unknown"
1	56	"admin."	"married"	"secondary"	0	45	0	0	"unknown"	5	"may"	1467	1	-1	0	"unknown"
1	41	"technician"	"married"	"secondary"	0	1270	1	0	"unknown"	5	"may"	1389	1	-1	0	"unknown"
0	46	"management"	"divorced"	"secondary"	0	16	1	1	"unknown"	5	"may"	188	2	-1	0	"unknown"
0	57	"retired"	"married"	"secondary"	0	486	1	0	"unknown"	5	"may"	180	2	-1	0	"unknown"
0	42	"management"	"single"	"secondary"	0	50	0	0	"unknown"	5	"may"	48	1	-1	0	"unknown"
0	30	"technician"	"married"	"secondary"	0	152	1	1	"unknown"	5	"may"	213	2	-1	0	"unknown"
0	60	"admin."	"married"	"secondary"	0	290	1	0	"unknown"	5	"may"	583	1	-1	0	"unknown"
0	60	"blue-collar"	"married"	"unknown"	0	54	1	0	"unknown"	5	"may"	221	1	-1	0	"unknown"
0	57	"entrepreneur"	"divorced"	"secondary"	0	-37	0	0	"unknown"	5	"may"	173	1	-1	0	"unknown"
0	36	"management"	"married"	"tertiary"	0	101	1	1	"unknown"	5	"may"	426	1	-1	0	"unknown"
0	55	"blue-collar"	"married"	"secondary"	0	383	0	0	"unknown"	5	"may"	287	1	-1	0	"unknown"
0	60	"retired"	"married"	"tertiary"	0	81	1	0	"unknown"	5	"may"	101	1	-1	0	"unknown"
0	39	"technician"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	203	1	-1	0	"unknown"
0	46	"management"	"married"	"tertiary"	0	229	1	0	"unknown"	5	"may"	197	1	-1	0	"unknown"
0	44	"blue-collar"	"married"	"secondary"	0	-674	1	0	"unknown"	5	"may"	257	1	-1	0	"unknown"
0	53	"blue-collar"	"married"	"primary"	0	90	0	0	"unknown"	5	"may"	124	1	-1	0	"unknown"
0	52	"blue-collar"	"married"	"primary"	0	128	1	0	"unknown"	5	"may"	229	1	-1	0	"unknown"
0	59	"blue-collar"	"married"	"primary"	0	179	1	0	"unknown"	5	"may"	55	3	-1	0	"unknown"
0	27	"technician"	"single"	"tertiary"	0	0	1	0	"unknown"	5	"may"	400	1	-1	0	"unknown"
0	44	"blue-collar"	"married"	"secondary"	0	54	1	0	"unknown"	5	"may"	197	1	-1	0	"unknown"
0	47	"technician"	"married"	"tertiary"	0	151	1	0	"unknown"	5	"may"	190	1	-1	0	"unknown"
0	34	"admin."	"married"	"secondary"	0	61	0	1	"unknown"	5	"may"	21	1	-1	0	"unknown"
0	59	"retired"	"single"	"secondary"	0	30	1	0	"unknown"	5	"may"	514	1	-1	0	"unknown"
0	45	"management"	"married"	"tertiary"	0	523	1	0	"unknown"	5	"may"	849	2	-1	0	"unknown"
0	29	"services"	"divorced"	"secondary"	0	31	1	0	"unknown"	5	"may"	194	1	-1	0	"unknown"
0	46	"technician"	"divorced"	"secondary"	0	79	0	0	"unknown"	5	"may"	144	1	-1	0	"unknown"
0	56	"self-employed"	"married"	"primary"	0	-34	1	1	"unknown"	5	"may"	212	2	-1	0	"unknown"
0	36	"blue-collar"	"married"	"primary"	0	448	1	0	"unknown"	5	"may"	286	1	-1	0	"unknown"
0	59	"retired"	"divorced"	"primary"	0	81	1	0	"unknown"	5	"may"	107	1	-1	0	"unknown"
0	44	"blue-collar"	"married"	"secondary"	0	144	1	0	"unknown"	5	"may"	247	2	-1	0	"unknown"
0	41	"admin."	"married"	"secondary"	0	351	1	0	"unknown"	5	"may"	518	1	-1	0	"unknown"
0	33	"management"	"single"	"tertiary"	0	-67	1	0	"unknown"	5	"may"	364	1	-1	0	"unknown"
0	59	"management"	"divorced"	"tertiary"	0	262	0	0	"unknown"	5	"may"	178	1	-1	0	"unknown"
0	57	"technician"	"married"	"primary"	0	0	0	0	"unknown"	5	"may"	98	1	-1	0	"unknown"
0	56	"technician"	"divorced"	"unknown"	0	56	1	0	"unknown"	5	"may"	439	1	-1	0	"unknown"
0	51	"blue-collar"	"married"	"secondary"	0	26	1	0	"unknown"	5	"may"	79	1	-1	0	"unknown"
0	34	"admin."	"married"	"unknown"	0	3	1	0	"unknown"	5	"may"	120	3	-1	0	"unknown"
0	43	"services"	"married"	"secondary"	0	41	1	1	"unknown"	5	"may"	127	2	-1	0	"unknown"
0	52	"technician"	"married"	"tertiary"	0	7	0	1	"unknown"	5	"may"	175	1	-1	0	"unknown"
0	33	"technician"	"single"	"secondary"	0	105	1	0	"unknown"	5	"may"	262	2	-1	0	"unknown"
0	29	"admin."	"single"	"secondary"	0	818	1	1	"unknown"	5	"may"	61	1	-1	0	"unknown"
0	34	"services"	"married"	"secondary"	0	-16	1	1	"unknown"	5	"may"	78	1	-1	0	"unknown"
0	31	"blue-collar"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	143	1	-1	0	"unknown"
1	55	"services"	"married"	"secondary"	0	2476	1	0	"unknown"	5	"may"	579	1	-1	0	"unknown"
0	55	"management"	"married"	"unknown"	0	1185	0	0	"unknown"	5	"may"	677	1	-1	0	"unknown"
0	32	"admin."	"single"	"secondary"	0	217	1	0	"unknown"	5	"may"	345	1	-1	0	"unknown"
0	38	"technician"	"single"	"secondary"	0	1685	1	0	"unknown"	5	"may"	185	1	-1	0	"unknown"
0	55	"admin."	"single"	"secondary"	0	802	1	1	"unknown"	5	"may"	100	2	-1	0	"unknown"
0	28	"unemployed"	"single"	"tertiary"	0	0	1	0	"unknown"	5	"may"	125	2	-1	0	"unknown"
0	23	"blue-collar"	"married"	"secondary"	0	94	1	0	"unknown"	5	"may"	193	1	-1	0	"unknown"
0	32	"technician"	"single"	"secondary"	0	0	1	0	"unknown"	5	"may"	136	1	-1	0	"unknown"
0	43	"services"	"single"	"unknown"	0	0	0	0	"unknown"	5	"may"	73	1	-1	0	"unknown"
0	32	"blue-collar"	"married"	"secondary"	0	517	1	0	"unknown"	5	"may"	528	1	-1	0	"unknown"
0	46	"blue-collar"	"married"	"secondary"	0	265	1	0	"unknown"	5	"may"	541	1	-1	0	"unknown"
0	53	"housemaid"	"divorced"	"primary"	0	947	1	0	"unknown"	5	"may"	163	1	-1	0	"unknown"
0	34	"self-employed"	"single"	"secondary"	0	3	1	0	"unknown"	5	"may"	301	1	-1	0	"unknown"
0	57	"unemployed"	"married"	"tertiary"	0	42	0	0	"unknown"	5	"may"	46	1	-1	0	"unknown"
0	37	"blue-collar"	"married"	"secondary"	0	37	1	0	"unknown"	5	"may"	204	1	-1	0	"unknown"
0	59	"blue-collar"	"married"	"secondary"	0	57	1	0	"unknown"	5	"may"	98	1	-1	0	"unknown"
0	33	"services"	"married"	"secondary"	0	22	1	0	"unknown"	5	"may"	71	1	-1	0	"unknown"
0	56	"blue-collar"	"divorced"	"primary"	0	8	1	0	"unknown"	5	"may"	157	2	-1	0	"unknown"
0	48	"unemployed"	"married"	"secondary"	0	293	1	0	"unknown"	5	"may"	243	1	-1	0	"unknown"
0	43	"services"	"married"	"primary"	0	3	1	0	"unknown"	5	"may"	186	2	-1	0	"unknown"
0	54	"blue-collar"	"married"	"primary"	0	348	1	0	"unknown"	5	"may"	579	2	-1	0	"unknown"
0	51	"blue-collar"	"married"	"unknown"	0	-19	1	0	"unknown"	5	"may"	163	2	-1	0	"unknown"
0	26	"student"	"single"	"secondary"	0	0	1	0	"unknown"	5	"may"	610	2	-1	0	"unknown"
0	40	"management"	"married"	"tertiary"	0	-4	1	0	"unknown"	5	"may"	2033	1	-1	0	"unknown"
0	39	"management"	"married"	"secondary"	0	18	1	0	"unknown"	5	"may"	85	1	-1	0	"unknown"
0	50	"technician"	"married"	"primary"	0	139	0	0	"unknown"	5	"may"	114	2	-1	0	"unknown"
0	41	"services"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	114	2	-1	0	"unknown"
0	51	"blue-collar"	"married"	"unknown"	0	1883	1	0	"unknown"	5	"may"	57	1	-1	0	"unknown"
0	60	"retired"	"divorced"	"secondary"	0	216	1	0	"unknown"	5	"may"	238	1	-1	0	"unknown"
0	52	"blue-collar"	"married"	"secondary"	0	782	1	0	"unknown"	5	"may"	93	3	-1	0	"unknown"
0	48	"blue-collar"	"married"	"secondary"	0	904	1	0	"unknown"	5	"may"	128	2	-1	0	"unknown"
0	48	"services"	"married"	"unknown"	0	1705	1	0	"unknown"	5	"may"	107	1	-1	0	"unknown"
0	39	"technician"	"single"	"tertiary"	0	47	1	0	"unknown"	5	"may"	181	1	-1	0	"unknown"
0	47	"services"	"single"	"secondary"	0	176	1	0	"unknown"	5	"may"	303	2	-1	0	"unknown"
0	40	"blue-collar"	"married"	"secondary"	0	1225	1	0	"unknown"	5	"may"	558	5	-1	0	"unknown"
0	45	"technician"	"married"	"secondary"	0	86	1	0	"unknown"	5	"may"	270	1	-1	0	"unknown"
0	26	"admin."	"single"	"secondary"	0	82	1	0	"unknown"	5	"may"	228	1	-1	0	"unknown"
0	52	"management"	"married"	"tertiary"	0	271	1	0	"unknown"	5	"may"	99	1	-1	0	"unknown"
0	54	"technician"	"married"	"secondary"	0	1378	1	0	"unknown"	5	"may"	240	1	-1	0	"unknown"
1	54	"admin."	"married"	"tertiary"	0	184	0	0	"unknown"	5	"may"	673	2	-1	0	"unknown"
0	50	"blue-collar"	"married"	"primary"	0	0	0	0	"unknown"	5	"may"	233	3	-1	0	"unknown"
0	35	"blue-collar"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	1056	1	-1	0	"unknown"
0	44	"services"	"married"	"secondary"	0	1357	1	1	"unknown"	5	"may"	250	1	-1	0	"unknown"
0	53	"entrepreneur"	"married"	"unknown"	0	19	1	0	"unknown"	5	"may"	252	1	-1	0	"unknown"
0	35	"retired"	"single"	"primary"	0	434	0	0	"unknown"	5	"may"	138	1	-1	0	"unknown"
0	60	"admin."	"divorced"	"secondary"	0	92	1	0	"unknown"	5	"may"	130	1	-1	0	"unknown"
0	53	"admin."	"divorced"	"secondary"	0	1151	1	0	"unknown"	5	"may"	412	1	-1	0	"unknown"
0	48	"unemployed"	"married"	"secondary"	0	41	1	0	"unknown"	5	"may"	179	2	-1	0	"unknown"
0	34	"technician"	"married"	"secondary"	0	51	1	0	"unknown"	5	"may"	19	2	-1	0	"unknown"
0	54	"services"	"married"	"secondary"	0	214	1	0	"unknown"	5	"may"	458	2	-1	0	"unknown"
0	51	"management"	"married"	"secondary"	0	1161	1	0	"unknown"	5	"may"	717	1	-1	0	"unknown"
0	31	"services"	"married"	"tertiary"	0	37	1	0	"unknown"	5	"may"	313	1	-1	0	"unknown"
0	35	"technician"	"divorced"	"secondary"	0	787	1	0	"unknown"	5	"may"	683	2	-1	0	"unknown"
0	35	"services"	"married"	"secondary"	0	59	1	0	"unknown"	5	"may"	1077	1	-1	0	"unknown"
0	38	"technician"	"married"	"secondary"	0	253	1	0	"unknown"	5	"may"	416	1	-1	0	"unknown"
0	36	"admin."	"married"	"tertiary"	0	211	1	0	"unknown"	5	"may"	146	2	-1	0	"unknown"
0	58	"retired"	"married"	"primary"	0	235	1	0	"unknown"	5	"may"	167	1	-1	0	"unknown"
0	40	"services"	"divorced"	"unknown"	0	4384	1	0	"unknown"	5	"may"	315	1	-1	0	"unknown"
0	54	"management"	"married"	"secondary"	0	4080	0	0	"unknown"	5	"may"	140	1	-1	0	"unknown"
0	34	"blue-collar"	"single"	"secondary"	0	53	1	1	"unknown"	5	"may"	346	1	-1	0	"unknown"
0	31	"management"	"single"	"tertiary"	0	0	1	0	"unknown"	5	"may"	562	1	-1	0	"unknown"
0	51	"retired"	"married"	"secondary"	0	2127	1	0	"unknown"	5	"may"	172	1	-1	0	"unknown"
0	33	"management"	"married"	"tertiary"	0	377	1	0	"unknown"	5	"may"	217	1	-1	0	"unknown"
0	55	"management"	"married"	"tertiary"	0	73	1	0	"unknown"	5	"may"	142	2	-1	0	"unknown"
0	42	"admin."	"married"	"secondary"	0	445	1	0	"unknown"	5	"may"	67	1	-1	0	"unknown"
0	34	"blue-collar"	"married"	"secondary"	0	243	1	0	"unknown"	5	"may"	291	1	-1	0	"unknown"
0	33	"blue-collar"	"single"	"secondary"	0	307	1	0	"unknown"	5	"may"	309	2	-1	0	"unknown"
0	38	"services"	"married"	"secondary"	0	155	1	0	"unknown"	5	"may"	248	1	-1	0	"unknown"
0	50	"technician"	"divorced"	"tertiary"	0	173	0	1	"unknown"	5	"may"	98	1	-1	0	"unknown"
0	43	"management"	"married"	"tertiary"	0	400	1	0	"unknown"	5	"may"	256	1	-1	0	"unknown"
0	61	"blue-collar"	"divorced"	"primary"	0	1428	1	0	"unknown"	5	"may"	82	2	-1	0	"unknown"
0	47	"admin."	"married"	"secondary"	0	219	1	0	"unknown"	5	"may"	577	1	-1	0	"unknown"
0	48	"self-employed"	"married"	"tertiary"	0	7	1	0	"unknown"	5	"may"	286	1	-1	0	"unknown"
0	44	"blue-collar"	"married"	"secondary"	0	575	1	0	"unknown"	5	"may"	477	1	-1	0	"unknown"
0	35	"student"	"single"	"unknown"	0	298	1	0	"unknown"	5	"may"	611	2	-1	0	"unknown"
0	35	"services"	"married"	"secondary"	0	0	1	0	"unknown"	5	"may"	471	1	-1	0	"unknown"
0	50	"services"	"married"	"secondary"	0	5699	1	0	"unknown"	5	"may"	381	2	-1	0	"unknown"
0	41	"management"	"married"	"tertiary"	0	176	1	1	"unknown"	5	"may"	42	1	-1	0	"unknown"
0	41	"management"	"married"	"tertiary"	0	517	1	0	"unknown"	5	"may"	251	1	-1	0	"unknown"
0	39	"services"	"single"	"unknown"	0	257	1	0	"unknown"	5	"may"	408	1	-1	0	"unknown"
0	42	"retired"	"married"	"secondary"	0	56	1	0	"unknown"	5	"may"	215	1	-1	0	"unknown"
0	38	"blue-collar"	"married"	"secondary"	0	-390	1	0	"unknown"	5	"may"	287	1	-1	0	"unknown"
0	53	"retired"	"married"	"secondary"	0	330	1	0	"unknown"	5	"may"	216	2	-1	0	"unknown"
0	59	"housemaid"	"divorced"	"primary"	0	195	0	0	"unknown"	5	"may"	366	2	-1	0	"unknown"
0	36	"services"	"married"	"secondary"	0	301	1	0	"unknown"	5	"may"	210	1	-1	0	"unknown"
0	54	"blue-collar"	"married"	"primary"	0	-41	1	0	"unknown"	5	"may"	288	1	-1	0	"unknown"
0	40	"technician"	"married"	"tertiary"	0	483	1	0	"unknown"	5	"may"	168	1	-1	0	"unknown"
0	47	"unknown"	"married"	"unknown"	0	28	0	0	"unknown"	5	"may"	338	2	-1	0	"unknown"
0	53	"unemployed"	"married"	"unknown"	0	13	0	0	"unknown"	5	"may"	410	3	-1	0	"unknown"
0	46	"housemaid"	"married"	"primary"	0	965	0	0	"unknown"	5	"may"	177	1	-1	0	"unknown"
0	39	"management"	"married"	"tertiary"	0	378	1	1	"unknown"	5	"may"	127	2	-1	0	"unknown"
0	40	"unemployed"	"married"	"secondary"	0	219	1	0	"unknown"	5	"may"	357	1	-1	0	"unknown"
0	28	"blue-collar"	"married"	"primary"	0	324	1	0	"unknown"	5	"may"	175	1	-1	0	"unknown"
0	35	"entrepreneur"	"divorced"	"secondary"	0	-69	1	0	"unknown"	5	"may"	300	1	-1	0	"unknown"
0	55	"retired"	"married"	"secondary"	0	0	0	1	"unknown"	5	"may"	136	1	-1	0	"unknown"
0	43	"technician"	"divorced"	"unknown"	0	205	1	0	"unknown"	5	"may"	1419	1	-1	0	"unknown"
0	48	"blue-collar"	"married"	"primary"	0	278	1	0	"unknown"	5	"may"	125	2	-1	0	"unknown"
0	58	"management"	"married"	"unknown"	0	1065	1	0	"unknown"	5	"may"	213	3	-1	0	"unknown"
0	33	"management"	"single"	"tertiary"	0	34	1	0	"unknown"	5	"may"	27	1	-1	0	"unknown"
0	36	"blue-collar"	"married"	"unknown"	0	1033	0	0	"unknown"	5	"may"	238	2	-1	0	"unknown"
0	53	"services"	"divorced"	"secondary"	0	1467	1	0	"unknown"	5	"may"	124	1	-1	0	"unknown"
0	47	"blue-collar"	"married"	"primary"	0	-12	1	0	"unknown"	5	"may"	18	1	-1	0	"unknown"
0	31	"services"	"married"	"secondary"	0	388	1	0	"unknown"	5	"may"	730	2	-1	0	"unknown"
0	57	"entrepreneur"	"married"	"secondary"	0	294	1	0	"unknown"	5	"may"	746	2	-1	0	"unknown"
0	53	"blue-collar"	"married"	"unknown"	0	1827	0	0	"unknown"	5	"may"	121	1	-1	0	"unknown"
0	55	"blue-collar"	"married"	"primary"	0	627	1	0	"unknown"	5	"may"	247	1	-1	0	"unknown"
0	45	"blue-collar"	"married"	"primary"	0	25	1	0	"unknown"	5	"may"	40	1	-1	0	"unknown"
0	53	"admin."	"divorced"	"secondary"	0	315	1	0	"unknown"	5	"may"	181	2	-1	0	"unknown"
0	37	"blue-collar"	"married"	"primary"	0	0	1	0	"unknown"	5	"may"	79	1	-1	0	"unknown"
0	44	"admin."	"divorced"	"secondary"	0	66	1	0	"unknown"	5	"may"	206	1	-1	0	"unknown"
0	49	"blue-collar"	"divorced"	"primary"	0	-9	1	1	"unknown"	5	"may"	389	1	-1	0	"unknown"
0	46	"technician"	"married"	"secondary"	0	349	1	1	"unknown"	5	"may"	127	1	-1	0	"unknown"
0	43	"entrepreneur"	"married"	"unknown"	0	100	1	0	"unknown"	5	"may"	702	1	-1	0	"unknown"
0	38	"admin."	"married"	"secondary"	0	0	0	0	"unknown"	5	"may"	151	1	-1	0	"unknown"
0	43	"technician"	"married"	"secondary"	0	434	1	0	"unknown"	5	"may"	117	1	-1	0	"unknown"
0	49	"management"	"married"	"tertiary"	0	3237	1	0	"unknown"	5	"may"	232	3	-1	0	"unknown"
0	42	"management"	"married"	"unknown"	0	275	0	0	"unknown"	5	"may"	408	2	-1	0	"unknown"
0	22	"blue-collar"	"single"	"secondary"	0	0	1	0	"unknown"	5	"may"	179	2	-1	0	"unknown"
0	40	"management"	"married"	"tertiary"	0	207	1	0	"unknown"	5	"may"	39	1	-1	0	"unknown"
0	39	"blue-collar"	"married"	"secondary"	0	483	1	0	"unknown"	5	"may"	282	1	-1	0	"unknown"
0	51	"services"	"married"	"secondary"	0	2248	1	0	"unknown"	5	"may"	714	2	-1	0	"unknown"
